pipeline,repeat,cell_type_balanced_accuracy,cell_type_f1_macro,cell_stage_r2,cell_stage_mae,protein_r2,protein_pearson
raw,0,0.9376465072667604,0.9375,0.6078281402587891,0.1216302141547203,0.3139844799241325,0.6440979510889744
background_only,0,0.943975621190811,0.943747802648541,0.5786787271499634,0.12623395025730133,0.37591285397822727,0.6604730082768464
illumination_only,0,0.8870135958743554,0.887218045112782,0.5170676112174988,0.1415090262889862,0.2870040211200371,0.6084712470489396
registration_only,0,0.9685107047976246,0.9687194525904204,0.6146705150604248,0.1231505274772644,0.4777365924390736,0.6948069424118746
full,0,0.9177215189873418,0.9180295566502463,0.5582240223884583,0.1323213279247284,0.42999354005843815,0.6593628337330262
full_no_background,0,0.9113924050632911,0.9116161616161615,0.5857497453689575,0.12977030873298645,0.4367125379488729,0.6633108318618134
full_no_illumination,0,0.9626504141272074,0.9625,0.597388744354248,0.12265203893184662,0.49760968758271007,0.70793398942961
full_no_registration,0,0.9056883888107516,0.9059524276029625,0.4288361668586731,0.15346594154834747,0.3084361725990227,0.6095224431814009
raw,1,0.8545098039215686,0.8552947190436868,0.7826100587844849,0.10103078186511993,0.4175203389949974,0.6907392726576149
background_only,1,0.8662745098039215,0.8675862068965517,0.7843238115310669,0.10077645629644394,0.45127567074415076,0.7004953466406826
illumination_only,1,0.7933333333333333,0.7930953407265176,0.7943103909492493,0.09559273719787598,0.38079822350414616,0.6642322315379728
registration_only,1,0.9054901960784314,0.9058047804073943,0.790971040725708,0.09806311130523682,0.5086210854034099,0.7194809837853356
full,1,0.8745098039215686,0.8745098039215686,0.8135873675346375,0.08977460861206055,0.4667517112007352,0.690158085450078
full_no_background,1,0.8627450980392157,0.8621553884711779,0.8148977756500244,0.08954260498285294,0.4625745014100827,0.6885039957694034
full_no_illumination,1,0.9047058823529412,0.9056269906806653,0.7937208414077759,0.09705819934606552,0.5233892910189499,0.733747780049735
full_no_registration,1,0.8058823529411765,0.8056350170461224,0.7924337387084961,0.0965179055929184,0.39764345038013593,0.6615951731941164
raw,2,0.8755472170106317,0.875,0.6324025392532349,0.12492456287145615,0.3509621845812031,0.6522057141577529
background_only,2,0.8938398999374609,0.8937126333476613,0.6320087909698486,0.12171363830566406,0.39787817965754024,0.6675008734704359
illumination_only,2,0.8883677298311445,0.8874824191279886,0.7736273407936096,0.09620798379182816,0.32436255375477985,0.6273503628146925
registration_only,2,0.9133833646028768,0.9124863259884357,0.6827381253242493,0.11210514605045319,0.4724122652500973,0.6944762769461261
full,2,0.9188555347091933,0.9187214255011528,0.7322958707809448,0.10290972888469696,0.44531513002119216,0.6730132140743855
full_no_background,2,0.9124452782989368,0.9124452782989368,0.7451797723770142,0.10099055618047714,0.4492837825439292,0.6757506455298944
full_no_illumination,2,0.9185428392745466,0.9186705767350929,0.670761227607727,0.11400284618139267,0.48572649990982675,0.7036352938597381
full_no_registration,2,0.8944652908067543,0.8937458494472441,0.7696364521980286,0.09564287960529327,0.34641030438959763,0.631173511202777
raw,3,0.9437500000000001,0.9436421275096865,0.7392088174819946,0.0987296849489212,0.34555143833253243,0.6418000830861206
background_only,3,0.9437500000000001,0.9436421275096865,0.7503573298454285,0.09663094580173492,0.37118540143400425,0.6443338720473863
illumination_only,3,0.9,0.8998591769676108,0.7421432137489319,0.10333843529224396,0.3107149210480755,0.6052308101101154
registration_only,3,0.9625,0.9624765478424016,0.7537510991096497,0.09676867723464966,0.5006575157382493,0.7095036202128124
full,3,0.9375,0.9375,0.7776110768318176,0.09330155700445175,0.42549931804700003,0.6537354402999476
full_no_background,3,0.93125,0.9312473143482167,0.7770613431930542,0.09356002509593964,0.4438220568539981,0.6676004318179067
full_no_illumination,3,0.96875,0.9687390098081357,0.7616316080093384,0.09385184943675995,0.5006777773349306,0.7084376802206189
full_no_registration,3,0.90625,0.9060702125161442,0.744850754737854,0.10235752910375595,0.30070037778657155,0.5887060296088714
raw,4,0.8529040404040404,0.8437438962459471,0.6737827062606812,0.112177275121212,0.35506865538565324,0.6549232656313054
background_only,4,0.8642676767676767,0.8562443845462713,0.6681621074676514,0.11304420232772827,0.4130769091239951,0.6700957106950384
illumination_only,4,0.8377525252525253,0.8311906529639326,0.5745279788970947,0.13274987041950226,0.33653911694030814,0.6382732392696404
registration_only,4,0.8926767676767677,0.887341574088562,0.6393598318099976,0.11474676430225372,0.4903914481938837,0.7030346626269064
full,4,0.9324494949494949,0.9307931264991546,0.5627509951591492,0.13243302702903748,0.46287422883890217,0.6836644576367614
full_no_background,4,0.9236111111111112,0.9185941841806583,0.5835723876953125,0.13039931654930115,0.4711248662992611,0.6895249618333846
full_no_illumination,4,0.9210858585858586,0.9183641430197418,0.6181397438049316,0.11676713079214096,0.510786491022984,0.7163256554156904
full_no_registration,4,0.8964646464646464,0.8875,0.5644330978393555,0.1322353631258011,0.35486028888872756,0.6395694734938752
