pipeline,metric,mean,ci95_low,ci95_high,n
raw,protein_r2,0.35661741944370373,0.32916567651338347,0.3917183713903697,5
raw,protein_pearson,0.6567532573243536,0.6448003565015885,0.6737042966439144,5
raw,cell_type_balanced_accuracy,0.8928715137206001,0.8580749811323699,0.9264473477621825,5
raw,cell_type_f1_macro,0.891036148559864,0.8546154461158537,0.9268733488904544,5
raw,cell_stage_r2,0.6871664524078369,0.6308488130569458,0.743484091758728,5
raw,cell_stage_mae,0.11169850379228592,0.10233964174985885,0.12039849609136581,5
background_only,protein_r2,0.40186580298758356,0.37841493809640064,0.4285633550669349,5
background_only,protein_pearson,0.6685797622260778,0.6541196400615267,0.6864109517787864,5
background_only,cell_type_balanced_accuracy,0.9024215415399741,0.8709848546161314,0.9338131042256544,5
background_only,cell_type_f1_macro,0.9009866309897424,0.8682747632466615,0.9336984987328233,5
background_only,cell_stage_r2,0.6827061533927917,0.6179074287414551,0.7470675110816956,5
background_only,cell_stage_mae,0.1116798385977745,0.10243685282766819,0.12114245146512985,5
illumination_only,protein_r2,0.3278837672734694,0.3014313241934586,0.35792974170016445,5
illumination_only,protein_pearson,0.6287115781562722,0.6103028080387957,0.6516640593396502,5
illumination_only,cell_type_balanced_accuracy,0.8612934368582718,0.8212240510167341,0.8939576581354908,5
illumination_only,cell_type_f1_macro,0.8597691269797665,0.8195918188542948,0.8923273726577549,5
illumination_only,cell_stage_r2,0.6803353071212769,0.5845110937952995,0.77560373544693,5
illumination_only,cell_stage_mae,0.11387961059808731,0.09732337456196546,0.13222948998212813,5
registration_only,protein_r2,0.48996378140494273,0.47813783271444504,0.5017897300954404,5
registration_only,protein_pearson,0.7042604971966111,0.6963202202685815,0.7141962468391452,5
registration_only,cell_type_balanced_accuracy,0.9285122066311402,0.9026933094324773,0.9547044620942611,5
registration_only,cell_type_f1_macro,0.9273657361834428,0.9010921161122779,0.9549756653708158,5
registration_only,cell_stage_r2,0.6962981224060059,0.6381597638130188,0.760935600399971,5
registration_only,cell_stage_mae,0.10896684527397156,0.10021782904863358,0.11757994592189788,5
full,protein_r2,0.4460867856332536,0.43215901364870135,0.4609134020200934,5
full,protein_pearson,0.6719868062388399,0.6603192181903499,0.6835147654073478,5
full,cell_type_balanced_accuracy,0.9162072705135197,0.8949668882846787,0.9317509049216367,5
full,cell_type_f1_macro,0.9159107825144245,0.8946087927530026,0.9309958081590562,5
full,cell_stage_r2,0.6888938665390014,0.6043422847986222,0.7901338100433349,5
full,cell_stage_mae,0.11014804989099503,0.09381241202354432,0.12648368775844573,5
full_no_background,protein_r2,0.45270354901122883,0.4424001530729731,0.46395423143237285,5
full_no_background,protein_pearson,0.6769381733624805,0.6682867573290457,0.6861575189342978,5
full_no_background,cell_type_balanced_accuracy,0.9082887785025109,0.884858336705539,0.9248038292161769,5
full_no_background,cell_type_f1_macro,0.9072116653830303,0.8821055210657265,0.923610425411209,5
full_no_background,cell_stage_r2,0.7012922048568726,0.6172002792358399,0.7858196020126342,5
full_no_background,cell_stage_mae,0.10885256230831146,0.09376340880990028,0.12420620560646056,5
full_no_illumination,protein_r2,0.5036379493738803,0.4931151356670348,0.5157883696264324,5
full_no_illumination,protein_pearson,0.7140160797950785,0.706315249359863,0.7239477269456787,5
full_no_illumination,cell_type_balanced_accuracy,0.9351469988681107,0.9140252642304293,0.9571507768570101,5
full_no_illumination,cell_type_f1_macro,0.934780144048727,0.9133305688271814,0.9562297192702729,5
full_no_illumination,cell_stage_r2,0.6883284330368042,0.627652731537819,0.7543426614999771,5
full_no_illumination,cell_stage_mae,0.10886641293764114,0.09937705557793379,0.11742867108434439,5
full_no_registration,protein_r2,0.3416101188088111,0.3129366810321572,0.3702835565854649,5
full_no_registration,protein_pearson,0.6261133261362082,0.6041426517994737,0.6467398972420328,5
full_no_registration,cell_type_balanced_accuracy,0.8817501358046658,0.8435601476882072,0.9040682848172299,5
full_no_registration,cell_type_f1_macro,0.8797807013224948,0.844480290562508,0.9035234793877028,5
full_no_registration,cell_stage_r2,0.6600380420684815,0.5415716806054115,0.7737982273101807,5
full_no_registration,cell_stage_mae,0.11604392379522324,0.09733581990003586,0.13765521347522736,5
